"hfp_quant_1to4","prob.not_threatened","prob.over","prob.threatened","prob.under","logit.not_threatened","logit.over","logit.threatened","logit.under","se.prob.not_threatened","se.prob.over","se.prob.threatened","se.prob.under","se.logit.not_threatened","se.logit.over","se.logit.threatened","se.logit.under","L.prob.not_threatened","L.prob.over","L.prob.threatened","L.prob.under","U.prob.not_threatened","U.prob.over","U.prob.threatened","U.prob.under","L.logit.not_threatened","L.logit.over","L.logit.threatened","L.logit.under","U.logit.not_threatened","U.logit.over","U.logit.threatened","U.logit.under"
0.1,0.0553541904137891,0.0771549934484549,0.651696638322568,0.215794177815188,-2.83705768871107,-2.48164499623023,0.626505346006995,-1.29034644127313,0.0213839415625594,0.0252543411204303,0.0438906402805366,0.0348337298962366,0.408948154997631,0.354685338864255,0.19336094929585,0.205840199691891,0.0256161741241452,0.0400475795104472,0.561567188496215,0.155278616627021,0.115522267610705,0.1435055034486,0.732135792632366,0.291748513127875,-3.63858134405053,-3.17681548624855,0.247524849370653,-1.69378581923977,-2.03553403337161,-1.7864745062119,1.00548584264334,-0.886907063306487
0.2,0.0333360958726896,0.138207460335926,0.744846860266347,0.0836095835250372,-3.36721009943641,-1.83025867640689,1.07131472768365,-2.39428434374034,0.0133699598670951,0.0249109079242785,0.032659747489711,0.0204929061963509,0.414896589723539,0.209148781991336,0.171848171054694,0.267464996429736,0.0150621662545121,0.0961996507215755,0.675791660474236,0.0512462856284961,0.072156364680982,0.194609134807712,0.803470978595619,0.133534481253897,-4.18039247260304,-2.24018275652033,0.734498501607375,-2.91850610386775,-2.55402772626978,-1.42033459629345,1.40813095375993,-1.87006258361292
0.3,0.0174369526637491,0.215025790734181,0.739401149003172,0.0281361075988978,-4.03157284137126,-1.29489288496767,1.04285834485546,-3.54216204685437,0.0107696779086844,0.0484327445156155,0.0501478850173772,0.0122986423510334,0.628596124911225,0.286941350688552,0.260255552434074,0.44976712581043,0.00514998283807423,0.135019517854843,0.630128200855868,0.0118478599803189,0.0573486559806853,0.324646760359261,0.825339374189657,0.0653365643562934,-5.2635986070187,-1.85728759799251,0.532766835308098,-4.42368941487291,-2.79954707572382,-0.732498171942828,1.55294985440282,-2.66063467883583
0.4,0.00838970689961782,0.30773009314136,0.675170718074105,0.00870948188491731,-4.77232459502445,-0.810752840575092,0.731665816623442,-4.73459534388082,0.00760700008908803,0.10588566682371,0.10537049277071,0.0057446563137879,0.914377659131436,0.497040473744432,0.480452259523117,0.665381587607187,0.00140758409653676,0.143694920677792,0.447691272394614,0.00237893810830571,0.0483294726941427,0.540766451471015,0.842019949103867,0.0313566111917164,-6.5644718751901,-1.7849342679729,-0.210003308332758,-6.03871929156699,-2.98017731485879,0.16342858682272,1.67333494157964,-3.43047139619466
0.5,0.00379509235536801,0.414046143057792,0.57962410299166,0.00253466159518009,-5.57024422037504,-0.347263619781412,0.321230491256648,-5.97515726458738,0.00463471772371916,0.178129833257857,0.177321146539701,0.00228435462316698,1.2258921461576,0.734217109484039,0.727740067808011,0.903536553599768,0.000344542441543706,0.14352662035392,0.248782943145416,0.000432257656916358,0.0404056985217139,0.748715907031897,0.851646654008064,0.0147121788197712,-7.97294867577444,-1.78630271120323,-1.10511383175379,-7.74605636835837,-3.16753976497564,1.09177547164041,1.74757481426709,-4.20425816081639
0.6,0.00162391387666971,0.526978142111109,0.470700173307133,0.000697770705087886,-6.42129083640217,0.108017473005388,-0.117333734839605,-7.26692199764979,0.00252378080121177,0.244000429476171,0.24337198176706,0.000815673357478574,1.55666252162281,0.978851429087389,0.976842324855767,1.16978672494586,7.69488019786625e-05,0.140578181365833,0.115893126466384,7.05116677182097e-05,0.0332370419766628,0.883554643658534,0.857812878773129,0.0068666939037775,-9.47229331486619,-1.81049607422146,-2.03190951013128,-9.55966184813673,-3.37028835793816,2.02653102023223,1.79724204045207,-4.97418214716285
0.7,0.000659366551397533,0.636443325169382,0.362715032587295,0.000182275691925536,-7.3235713703992,0.559960173592966,-0.563599422343457,-8.60980793391996,0.00125733282739455,0.283759879514291,0.283374171835469,0.000267601323293173,1.90813806818418,1.22636326316207,1.22591690687211,1.46838070712906,1.56746008435833e-05,0.136618102722677,0.048969316990863,1.02545249622388e-05,0.0270225427519283,0.950901780303314,0.86284857007579,0.00323065454511832,-11.06345326157,-1.8436676541677,-2.96635240785154,-11.4877812354864,-3.58368947922838,2.96358800135363,1.83915356316463,-5.73183463235354
0.8,0.000255350508670538,0.733116114646017,0.266583120749232,4.54140960801055e-05,-8.27261802970421,1.01049042200427,-1.01202817771862,-9.99964259963462,0.000581890409708099,0.28864268849776,0.28843862024956,8.15498858208857e-05,2.27937291647373,1.47524938958076,1.47526439468966,1.79577700631944,2.93116739927572e-06,0.132280337926905,0.0197724873086696,1.34475031568813e-06,0.0217717619973513,0.980197115752359,0.867546434650048,0.00153148564858999,-12.7401068533287,-1.88094524978873,-3.90349325898465,-13.5193008562859,-3.80512920607968,3.90192609379726,1.8794369035474,-6.47998434298336
0.9,9.50384074964727e-05,0.811593207720073,0.188300879474994,1.08743974359398e-05,-9.2611344157062,1.46039582498361,-1.46108862401137,-11.4290885162575,0.00025326174461094,0.263753421071501,0.263656492699699,2.32930268937792e-05,2.66508902204597,1.72489690197236,1.72500773466443,2.1420295084288,5.12167853545985e-07,0.127823658938579,0.0078291477938829,1.63346950112844e-07,0.0173330372671579,0.992163780082937,0.872123312758861,0.000723426566748962,-14.4846129145094,-1.92033997992694,-4.84204165700667,-15.6273892066,-4.03765591690303,4.84113162989416,1.91986440898394,-7.23078782591501
1,3.42914579485321e-05,0.871020583460274,0.12894260076354,2.52431823801472e-06,-10.2805799821633,1.91001277863701,-1.91034052504918,-12.88953701212,0.000104868980863517,0.221880487723069,0.221837986192462,6.3010044634223e-06,3.05827116637872,1.97501448760639,1.97511648708254,2.49612757785977,8.5505818667493e-08,0.123364868861197,0.00307461050179438,1.89425109419135e-08,0.0135666840548664,0.996923771707912,0.876621306052525,0.000336284442960799,-16.2746813232229,-1.96094448601635,-5.78149770500222,-17.7818571655424,-4.28647864110373,5.78097004329037,1.96081665490386,-7.99721685869766
