"hfp_delta_class5","prob.not_threatened","prob.over","prob.threatened","prob.under","logit.not_threatened","logit.over","logit.threatened","logit.under","se.prob.not_threatened","se.prob.over","se.prob.threatened","se.prob.under","se.logit.not_threatened","se.logit.over","se.logit.threatened","se.logit.under","L.prob.not_threatened","L.prob.over","L.prob.threatened","L.prob.under","U.prob.not_threatened","U.prob.over","U.prob.threatened","U.prob.under","L.logit.not_threatened","L.logit.over","L.logit.threatened","L.logit.under","U.logit.not_threatened","U.logit.over","U.logit.threatened","U.logit.under"
0.1,0.0372410009632307,0.15461574009887,0.73041257865251,0.0777306802853892,-3.25239278911255,-1.69884832670106,0.99671682950008,-2.47358724960809,0.0139832976257058,0.0254087728727733,0.0327291463693369,0.0194571271527126,0.390005443995743,0.194390855026465,0.166213697235466,0.271411650983372,0.0176920509496197,0.111071032519214,0.66171449745979,0.0471760273039058,0.0767039895982063,0.211176344464507,0.789595627802465,0.125468872481914,-4.01678941311876,-2.07984740147688,0.670943969181322,-3.00554431052006,-2.48799616510634,-1.31784925192524,1.32248968981884,-1.94163018869613
0.2,0.0589397886776352,0.068309951219875,0.696345561391334,0.176404698711156,-2.77049073214384,-2.61294473904262,0.829955693620328,-1.54089849014604,0.0181938460470636,0.022494550553719,0.0385586477346553,0.0288194469690371,0.328018644448164,0.353445037342229,0.182354862899805,0.19836344110799,0.0318794361594025,0.0353766989195864,0.61598635581074,0.126785594924412,0.106444378503675,0.127838686121491,0.766269404001866,0.240103293770797,-3.41339546151989,-3.30568428274781,0.472546729930971,-1.92968369056713,-2.12758600276779,-1.92020519533744,1.18736465730968,-1.15211328972495
0.3,0.0785418076822262,0.0254108583920494,0.558967385948589,0.337079947977136,-2.46232634196315,-3.64683941053997,0.236972300413163,-0.676334261160408,0.0373787911090676,0.0148931342643655,0.0656160602575287,0.0623473033508216,0.516474309129542,0.601374765274964,0.266166243620233,0.279012461212142,0.0300437187586943,0.00795859560711108,0.429300919081597,0.227375796648953,0.189993055879347,0.0781201748468655,0.681060247873893,0.467675176481971,-3.47459738679726,-4.82551229169012,-0.284703950982807,-1.22318863637409,-1.45005529712904,-2.46816652938981,0.758648551809132,-0.12947988594673
0.4,0.0867197383629658,0.00783212202069324,0.371768744008035,0.533679395608306,-2.35436128067445,-4.84165883993226,-0.52463633563654,0.134921886077994,0.0637443615867713,0.00680872251936304,0.0972629750839538,0.110048040622862,0.804858890227217,0.876195519603203,0.416442586958826,0.442198508551126,0.0192302017992394,0.0014153380916504,0.207370507097658,0.324806155985127,0.31499554561064,0.0421140551819556,0.572381953364654,0.731375995629527,-3.93185571815667,-6.5589705017699,-1.34084880770453,-0.73177126469954,-0.776866843192225,-3.12434717809463,0.291576136431448,1.00161503685553
0.5,0.0804364574766875,0.0020279510321796,0.207719462324769,0.709816129166364,-2.43643162256459,-6.19869932930362,-1.33872711282055,0.89449120406982,0.0841823081148894,0.00238750413825127,0.0971560877126951,0.133315810190154,1.1381150044256,1.17969106775162,0.590355808866821,0.647235788261084,0.00931199740553157,0.000201231899289435,0.0761529129554465,0.407558505522214,0.448738938309671,0.0201036123054308,0.454711715991157,0.896881972100556,-4.66709604150341,-8.51085133498039,-2.49580323626353,-0.374067630427297,-0.205767203625778,-3.88654732362684,-0.181650989377569,2.16305003856694
0.6,0.0657181662620785,0.000462522652987925,0.102230157548298,0.831589153536636,-2.65440275139721,-7.67835239312831,-2.17268701740273,1.59693200435216,0.091681402317209,0.000695464808337422,0.0711496658189722,0.1268196648398,1.49319974191535,1.50432983318438,0.775226878115127,0.905540181939548,0.0037545677966322,2.42569121460595e-05,0.0243136374904922,0.455643380645381,0.567636594497331,0.00874993905510267,0.342252971366272,0.966810153416423,-5.5810204672758,-10.6267846870388,-3.69210377835581,-0.177894138803202,0.272214964481383,-4.72992009921779,-0.653270256449663,3.37175814750752
0.7,0.0497911664729044,9.78234363358215e-05,0.0466568305176623,0.903454179573097,-2.94884419696728,-9.2322485460745,-3.0171555956278,2.2362076756545,0.0876633219404565,0.000179670800740221,0.042985491872298,0.107747295394857,1.85287686900493,1.8368643057888,0.966401083713893,1.23528386490629,0.00138535003485973,2.67265258134473e-06,0.00730933418172231,0.45390520276065,0.664347227218176,0.00356840895587247,0.245447038156852,0.990597377765608,-6.58041612800428,-12.8324364299077,-4.91126691432751,-0.184904210245265,0.68272773406971,-5.63206066224129,-1.12304427692809,4.65731956155426
0.8,0.0362533882453649,1.98830158402751e-05,0.0204635451166594,0.943263183622135,-3.28029556341187,-10.8256247828008,-3.86843443841845,2.81092201670158,0.0772423129717756,4.3142375446678e-05,0.0232733822257444,0.0875330414141843,2.21077122756059,2.1698535881502,1.16106898797291,1.63558896516214,0.000493582148728237,2.82818652068343e-07,0.00214153659754332,0.402568720218114,0.741300020748752,0.00139594061610941,0.16899298399525,0.997568027000162,-7.61332754748802,-15.0784596673002,-6.14408783841173,-0.394773448527356,1.05273642066429,-6.57278989830143,-1.59278103842517,6.01661748193052
0.9,0.0258737116045455,3.96127900512014e-06,0.0087975216322626,0.965324805484187,-3.62831349749627,-12.4389396424673,-4.72444878156202,3.32644005483085,0.0646845298135612,9.90781963123266e-06,0.0118368460001562,0.0697082770270676,2.56641230516336,2.50117673262087,1.35741697132281,2.0825334040899,0.000173633668105701,2.94328044563486e-08,0.000620144839837408,0.319678339825535,0.802463372615545,0.000532857604949416,0.112649342298655,0.999394064275575,-8.65838918509687,-17.3411559573737,-7.38493715735816,-0.755250413786957,1.40176219010432,-7.53672332756079,-2.06396040576588,7.40813052344866
1,0.0182802647357203,7.81271932951883e-07,0.00374415164587553,0.977974802346471,-3.98348381746682,-14.0623417808392,-5.58380903895404,3.7932967593955,0.0524149055805967,2.21160130382598e-06,0.00579793768201373,0.0548141068602741,2.9206855720577,2.83077240895273,1.55435147269996,2.54474847276586,6.07962075401864e-05,3.04259899606589e-09,0.000178582381341494,0.232487448055824,0.85080829128281,0.000200573377749359,0.0732818754805488,0.999846385715237,-9.70792234886569,-19.6105537508163,-8.63028194476274,-1.19431859693888,1.74095471393204,-8.51412981086219,-2.53733613314533,8.78091211572988
