"total_flor_regions","prob.not_threatened","prob.over","prob.threatened","prob.under","logit.not_threatened","logit.over","logit.threatened","logit.under","se.prob.not_threatened","se.prob.over","se.prob.threatened","se.prob.under","se.logit.not_threatened","se.logit.over","se.logit.threatened","se.logit.under","L.prob.not_threatened","L.prob.over","L.prob.threatened","L.prob.under","U.prob.not_threatened","U.prob.over","U.prob.threatened","U.prob.under","L.logit.not_threatened","L.logit.over","L.logit.threatened","L.logit.under","U.logit.not_threatened","U.logit.over","U.logit.threatened","U.logit.under"
1,0.00603038028328406,0.0215283731289317,0.939374510042462,0.0330667365453219,-5.10489656855242,-3.81662004432468,2.74049880793008,-3.37560164017788,0.00293837090300251,0.00714974376818336,0.0150924274762754,0.0117739371313622,0.490217492374375,0.339414998150322,0.265011710196614,0.368242471443972,0.00231574546271941,0.0111858012629344,0.902127071691121,0.016345153766866,0.0156103455395979,0.0410369811645067,0.963027665226102,0.065751519641241,-6.06570519819773,-4.48186121651203,2.22108540046335,-4.09734362178608,-4.1440879389071,-3.15137887213732,3.25991221539681,-2.65385965856967
2,0.0189688625280727,0.0617469564328013,0.862164453819489,0.0571197272196366,-3.9458053790745,-2.72097499613071,1.83338475397958,-2.80378976794172,0.00731445226617615,0.0145379043935592,0.022761178765618,0.0159394194065716,0.39305898565352,0.250937906747099,0.191532909043635,0.295957822949679,0.00886986000169622,0.0386867090364023,0.811224621621861,0.0328038179649309,0.0401011106881468,0.0971635535819238,0.901035401915045,0.0976402831724952,-4.71618683475525,-3.21280425571089,1.45798715039987,-3.38385644186597,-3.17542392339376,-2.22914573655053,2.20878235755929,-2.22372309401746
3,0.0529559889338008,0.157179934700525,0.702293517973349,0.0875705583923248,-2.88388439519922,-1.67936225955421,0.858243391938712,-2.34366590816226,0.0161450644549019,0.0262350409784363,0.034631856163152,0.0211766580420712,0.321924876975635,0.198038567590195,0.165641371710692,0.265033037775173,0.0288927684323838,0.112294942567129,0.630320561257944,0.0540070196564529,0.0950976111303176,0.215647433518833,0.76546784605428,0.138929389102338,-3.51484555979896,-2.06751071958089,0.533592269035944,-2.86312111691484,-2.25292323059949,-1.29121379952753,1.18289451484148,-1.82421069940968
4,0.117868470648158,0.318997606557258,0.45609570105523,0.107038221739355,-2.01277182388675,-0.758382220942154,-0.176070652092852,-2.12135779526661,0.0288562335827369,0.0416530772688436,0.0497484784658774,0.0259880438574423,0.277529179196348,0.191739252150247,0.200540148570633,0.271895384615963,0.0719763903960585,0.243389739330373,0.3614394155737,0.065726750079628,0.187121330460347,0.405504737094556,0.554033376316034,0.169601711894278,-2.55671901977055,-1.13418424957928,-0.569122120745604,-2.65426295667657,-1.46882462800294,-0.382580192305025,0.216980816559899,-1.58845263385666
5,0.196252395073331,0.484297800114119,0.221578719790543,0.0978710850220078,-1.40988373489052,-0.0628294598770329,-1.25648994846079,-2.22110627737617,0.038717014080492,0.0503668809721272,0.0479879171122323,0.0274857800244778,0.245452352587672,0.201666414632157,0.278220515650961,0.311304257550119,0.131134878019622,0.387439413619427,0.1416330490073,0.055658586325303,0.283167021322023,0.582350381694034,0.329336442225446,0.166455214083845,-1.89096150588298,-0.458088369447381,-1.80179213889684,-2.83125141040839,-0.928805963898057,0.332429449693315,-0.711187758024747,-1.61096114434396
6,0.259509922051668,0.583927935452221,0.0854912768394281,0.0710708656566826,-1.04851729735208,0.338919099671467,-2.36997266103873,-2.57035496714664,0.0439778836462335,0.0505335391421777,0.0294734891537041,0.02576257804792,0.228855374004821,0.20799452575521,0.376983112694599,0.390225037654657,0.182863588850624,0.482821094509724,0.0427438379256923,0.0343837646980033,0.354350784599872,0.678433233884568,0.16367981867488,0.141179482828405,-1.49706558806997,-0.0687426797902325,-3.10884598469995,-3.33518198681555,-0.599969006634186,0.746580879133167,-1.63109933737751,-1.80552794747772
7,0.303194401678434,0.62206278179838,0.0291436382310845,0.0455991782921017,-0.832132270360133,0.49831293060121,-3.50594188272477,-3.04119403530345,0.050797395201222,0.0536076458062654,0.0137475372101369,0.021436800695016,0.240441059905977,0.228019954778528,0.485876792490287,0.492574753828995,0.213595359485433,0.512847679182806,0.0114500746607193,0.0178696058306153,0.410747418065989,0.720153637959185,0.0721822690263608,0.111474720276989,-1.30338808818049,0.0514020314788439,-4.45824289692957,-4.00662281250196,-0.36087645253978,0.945223829723576,-2.55364086851996,-2.07576525810493
8,0.335411838180612,0.627478979520589,0.00940709931171875,0.0277020829870805,-0.683808398797542,0.521416704628207,-4.65683900330117,-3.5581546480281,0.062129210145381,0.0632025290825979,0.00558915788646642,0.0162824917927752,0.278717889432444,0.270386180901299,0.599784775734398,0.604517790912315,0.226166474894211,0.497867394968352,0.00292248112798094,0.00863732295754953,0.465671249879258,0.741036715773279,0.0298495197044026,0.0852298154703873,-1.23008542393215,-0.00853047185567046,-5.83239556221602,-4.74298774622995,-0.137531373662935,1.05136388111209,-3.48128244438631,-2.37332154982625
9,0.362405393406123,0.618191745655499,0.00296569679288843,0.0164371641454905,-0.564939211996913,0.481880146776718,-5.81767316492305,-4.09163664831267,0.0773196412494936,0.077668430680019,0.00211790495080048,0.0116583721075314,0.334618958597745,0.329060698354729,0.716258217277666,0.721122274007925,0.227799158008153,0.459323352904947,0.000730162166003347,0.00404987835087868,0.52270983809439,0.755252906792556,0.0119638125005272,0.0642682590555643,-1.22078031939279,-0.16306697072615,-7.22151347441814,-5.50501033381783,0.0909018953989666,1.12682726427959,-4.41383285542796,-2.67826296280751
10,0.387195518748824,0.602235880344009,0.000924521830506727,0.00964407907666065,-0.459116149290171,0.414790030969646,-6.98530894463971,-4.6317202347463,0.0950848512019285,0.0951359958057919,0.000770480544137445,0.00802913322651606,0.400736662051618,0.397148235000767,0.834153942009378,0.840652674624716,0.223645753951626,0.410086886283704,0.000180387898745435,0.001871075221891,0.580862070554192,0.767310441342932,0.00472384450166244,0.0481506898676955,-1.24454557419614,-0.363606206155507,-8.62022062854021,-6.27936920051801,0.326313275615798,1.1931862680948,-5.35039726073922,-2.98407126897459
