"hfp_quant_1to4","prob.not_threatened","prob.over","prob.threatened","prob.under","logit.not_threatened","logit.over","logit.threatened","logit.under","se.prob.not_threatened","se.prob.over","se.prob.threatened","se.prob.under","se.logit.not_threatened","se.logit.over","se.logit.threatened","se.logit.under","L.prob.not_threatened","L.prob.over","L.prob.threatened","L.prob.under","U.prob.not_threatened","U.prob.over","U.prob.threatened","U.prob.under","L.logit.not_threatened","L.logit.over","L.logit.threatened","L.logit.under","U.logit.not_threatened","U.logit.over","U.logit.threatened","U.logit.under"
0.1,0.0648248033468277,0.0740526234796664,0.648084607718091,0.213037965455414,-2.66904559001631,-2.52604143564364,0.610630471424441,-1.30670961512163,0.0219914855081125,0.0243610470284424,0.043657378494714,0.0343776729871999,0.362760823399847,0.355278720129548,0.191420164182985,0.205052792962794,0.0329250020822871,0.0383323424077253,0.558593018230001,0.153344649794337,0.123678514620078,0.138273069538488,0.728258950873618,0.288062321618087,-3.3800437388821,-3.22237493157104,0.235453843711047,-1.70860570425806,-1.95804744115051,-1.82970793971624,0.985807099137835,-0.904813525985209
0.2,0.0466346826873232,0.138312384249105,0.730448090400983,0.0846048426625888,-3.0176536362305,-1.8293780293309,0.996897182028721,-2.3813643311423,0.0145968245597049,0.0242525887378178,0.0325962268123467,0.0204929222612497,0.328314462068734,0.203491926429676,0.165552430147156,0.264606226752994,0.0250591405867801,0.0972452418750171,0.66204491105262,0.0521544031755312,0.0851637576917764,0.193014375754418,0.789410210605808,0.134383344185193,-3.66113815748885,-2.22821487627773,0.672420381387212,-2.8999830056632,-2.37416911497214,-1.43054118238406,1.32137398267023,-1.86274565662139
0.3,0.0292043152355173,0.224880537225315,0.716666645952872,0.0292485015862958,-3.50379954841835,-1.23744784745228,0.927986669626867,-3.50224216762678,0.0152385136116809,0.0464057599768737,0.0490547503884588,0.0125828732711147,0.537486725105293,0.266226558085249,0.241582891370805,0.443167732196477,0.0103819106237806,0.146885260140617,0.611706929416807,0.0124828894418242,0.0794133291413192,0.328350855018595,0.802418706300779,0.0670039513062426,-4.55725417179311,-1.75924231302742,0.454492903259037,-4.37083496184216,-2.4503449250436,-0.715653381877128,1.4014804359947,-2.63364937341139
0.4,0.0166689664958365,0.33324705250644,0.640868125296339,0.00921585570138403,-4.07739712486318,-0.693535469412255,0.579134042944525,-4.67757124812978,0.0134590785492583,0.104146541334804,0.10361560737645,0.00599118125868591,0.821120525973259,0.468720114047142,0.450196954538416,0.656141859487425,0.00337909081413408,0.166282008552597,0.424766662545852,0.00256408640606053,0.0781299742714866,0.556048222165375,0.811762578466182,0.0325603789943413,-5.68676378273735,-1.61221001177416,-0.303235773900387,-5.96358566147427,-2.46803046698901,0.225139072949651,1.46150385978944,-3.39155683478529
0.5,0.00881480648438959,0.457533845927856,0.530960988976823,0.00269035861093221,-4.72246852964665,-0.170274832511891,0.124002607315156,-5.91538679750977,0.00986606019615589,0.173700228910267,0.172251821012479,0.00240255451052949,1.12921378859667,0.699849276272618,0.691659335124658,0.895432925048458,0.000971510123723038,0.176251369907796,0.225897177909951,0.000466212321434569,0.0752122473531809,0.768774549753529,0.814516686941138,0.0153621001271261,-6.93568688614215,-1.54195420861264,-1.23162477910009,-7.6704030811761,-2.50925017315116,1.20140454358886,1.4796299937304,-4.16037051384344
0.6,0.00434215440461028,0.585151748804851,0.409774497877687,0.000731598912851069,-5.43503303851092,0.343958419669856,-0.3648976676506,-7.21954626077489,0.00630429222154711,0.227905018036493,0.226472304130834,0.000853759157219805,1.45821295679449,0.938849796902187,0.936380156160176,1.16783145625452,0.000250180443273388,0.182999936138988,0.099735309440469,7.42162021357375e-05,0.0706341875383517,0.898809861758445,0.813114182112943,0.00717010770427307,-8.29307791561778,-1.49615336915117,-2.20016904956254,-9.50845385504671,-2.57698816140406,2.18407020849089,1.47037371426134,-4.93063866650306
0.7,0.00200471783323686,0.701405713286911,0.296403106406498,0.00018646247335446,-6.21024522971025,0.854000731877952,-0.86448522401511,-8.58709407452485,0.00361991332898779,0.247321096787651,0.246263266296554,0.000274899592626446,1.80932436023001,1.18089251803675,1.18084520702344,1.47456405408341,5.79161820345487e-05,0.188389934857629,0.039967546546824,1.03637452356954e-05,0.0651292426977351,0.959631808287127,0.809987484161209,0.00334478778549838,-9.75645581211205,-1.46050607308689,-3.17889930109779,-11.4771865134257,-2.66403464730845,3.16850753684279,1.44992885306757,-5.69700163562399
0.8,0.000876364964988885,0.796074757586613,0.20300387940893,4.49980394683927e-05,-7.03885117789578,1.36193963007671,-1.36762472201603,-10.0088466374602,0.00190739333281156,0.231228411679294,0.230575674712241,8.12861138505324e-05,2.17839193482565,1.42434880480836,1.4251249495959,1.8065180770373,1.2269019859767e-05,0.193140331602349,0.0153553283859347,1.30467275570511e-06,0.0590068988499866,0.98453533415131,0.806209952617445,0.00154971043516639,-11.3084209143666,-1.42973272877034,-4.16081829669345,-13.5495570058738,-2.76928144142499,4.15361198892376,1.4255688526614,-6.46813626904653
0.9,0.000367327052840594,0.866312460771576,0.133309800229808,1.04119457755159e-05,-7.90889056006188,1.86874037241517,-1.87200584396802,-11.4725463667291,0.000939028756216127,0.193242182116072,0.192886844504396,2.23884136915299e-05,2.55732270837742,1.66853930813089,1.66946241079819,2.15028461380909,2.44576301757523e-06,0.197572392883279,0.00579993330338801,1.53890131618315e-07,0.0523203981788072,0.994170730862249,0.802196639332617,0.000703973258004877,-12.9211509653281,-1.40153657831076,-5.14409204267588,-15.6870267663056,-2.89663015479571,5.1390173231411,1.40008035473984,-7.2580659671527
1,0.000149415434535172,0.914892167881134,0.0849560786825173,2.33800181336835e-06,-8.80863055386184,2.37488714337683,-2.37683766400169,-12.9662115813035,0.000439028791194741,0.148965947679855,0.148788794001373,5.8337933737204e-06,2.93874859743329,1.9131435848857,1.91396426453515,2.49521064518211,4.70969530823573e-07,0.201844574332708,0.00217589119817711,1.75759455951014e-08,0.0452697784200843,0.997816367897903,0.798100319794431,0.0003109123421382,-14.5684719644487,-1.37480538025298,-6.12813869018729,-17.8567345797014,-3.048789143275,6.12457966700664,1.3744633621839,-8.07568858290562
