"protected","prob.not_threatened","prob.over","prob.threatened","prob.under","logit.not_threatened","logit.over","logit.threatened","logit.under","se.prob.not_threatened","se.prob.over","se.prob.threatened","se.prob.under","se.logit.not_threatened","se.logit.over","se.logit.threatened","se.logit.under","L.prob.not_threatened","L.prob.over","L.prob.threatened","L.prob.under","U.prob.not_threatened","U.prob.over","U.prob.threatened","U.prob.under","L.logit.not_threatened","L.logit.over","L.logit.threatened","L.logit.under","U.logit.not_threatened","U.logit.over","U.logit.threatened","U.logit.under"
"absent",0.0116725564128852,0.114415410144187,0.804269897570939,0.0696421358719889,-4.43877358264996,-2.04641220651638,1.41319822451026,-2.59219952764931,0.0093617577027045,0.0386125374724983,0.0461354557402667,0.0246868408866498,0.81150380458031,0.381077906148882,0.293072708226671,0.381016166170221,0.00240141743413501,0.0576866993094958,0.698209529200173,0.0342579706491464,0.0547715703666921,0.214246950080914,0.879490076364824,0.136411354520855,-6.0292918129446,-2.79331117787212,0.83878627153437,-3.33897749087047,-2.84825535235532,-1.29951323516064,1.98761017748615,-1.84542156442815
"present",0.0582949218751547,0.149786907936963,0.680386721208883,0.111531448979,-2.78217715878893,-1.73627334429572,0.755549582990901,-2.07519264662748,0.0193049610972815,0.0303226135082352,0.0410150684420152,0.0264967150754377,0.351660260780271,0.238103065344786,0.188609167043051,0.267394599390747,0.0301364904578211,0.0994861795074538,0.595291081224825,0.0691850025278209,0.10978533092174,0.219325748315063,0.754955088775672,0.174926171715787,-3.47141860471222,-2.20294677698008,0.385882408432421,-2.59927643109386,-2.09293571286563,-1.26959991161135,1.12521675754938,-1.5511088621611
