plant_name_id,ipni_id,taxon,genus,species,family,prediction,predicted_threat,prediction_binomial,accuracy_binomial,category,observed_threat,threat_binomial,confidence,mean_alt,total_flor_regions,mean_eoo,mean_aoo,pa_binomial,protected,II,IV,VI,trop_subtrop_moist_broad,trop_subtrop_grass_sav_shrub,desert_xeric,flooded_grass,montane_grass,hfp_delta_class1,hfp_delta_class2,hfp_delta_class3,hfp_delta_class4,hfp_delta_class5,hfp_2009_class1,hfp_2009_class2,hfp_2009_class3,hfp_2009_class4,hfp_2009_class5,hfp_2009_class6,hfp_2009_class7,hfp_2009_class8,hfp_2009_class9,hfp_2009_class10,hfp_quant_1to3,hfp_quant_1to4,sqrt_eoo,sqrt_aoo,sqrt_desert,new_pred,threatened,.lower,.upper
864374-az,900112-1,Indigofera mooneyi,Indigofera,mooneyi,Fabaceae,correct,T,0,1,EN,T,1,confident,1825,3,9393,20,0,absent,absent,absent,absent,0.259852957,0.408203234,0.010628391,0,0.321315418,0.035833159,0.100107136,0.474351506,0.249937558,0.13977064,0.000247686,0.002101283,0.048674619,0.118440474,0.132391201,0.159147731,0.152942002,0.204735342,0.138269956,0.043049705,0.051023589,0.169464063,96.91749068,4.472135955,0.103094089,threatened,0.648824318,0.569147551,0.747159726
864636-az,499930-1,Indigofera rothii,Indigofera,rothii,Fabaceae,under,NT,1,0,EN,T,1,low_confidence,2475,2,1202,28,1,present,absent,absent,absent,0.164393929,0.644761168,0,0,0.190844903,0.00961568,0.030796022,0.599993394,0.247235665,0.112359239,0,0,0.004840003,0.191532378,0.192483747,0.173682699,0.151401911,0.152376328,0.103362558,0.030320374,0.004840003,0.196372382,34.66987165,5.291502622,0,under,0.35696055,0.263015833,0.464285697
864738-az,500019-1,Indigofera sparsa,Indigofera,sparsa,Fabaceae,under,NT,1,0,EN,T,1,low_confidence,1550,3,139,8,0,absent,absent,absent,absent,0.313795128,0.368901208,0.001558423,0,0.315745241,0.032200338,0.082427266,0.32622151,0.379311982,0.179838904,0,0,0.024611571,0.046769649,0.092163988,0.236002209,0.23452671,0.29443862,0.065985361,0.005501893,0.024611571,0.07138122,11.78982612,2.828427125,0.039476868,under,0.383296253,0.296929497,0.466208066
1114139-az,225749-1,Inula arbuscula,Inula,arbuscula,Asteraceae,under,NT,1,0,VU,T,1,low_confidence,3400,4,35722,264,1,present,present,absent,absent,0.195443069,0.412292048,0,0,0.392264884,0.032018741,0.066236713,0.440959735,0.290660487,0.170124325,0,0,0.062585509,0.106815158,0.126753092,0.181257254,0.156430599,0.223345039,0.113682386,0.029130963,0.062585509,0.169400667,189.0026455,16.24807681,0,under,0.385698712,0.314478729,0.447913893
482618-wcs,902267-1,Ipomoea sidamensis,Ipomoea,sidamensis,Convolvulaceae,correct,T,0,1,EN,T,1,confident,1500,1,585,16,1,present,present,absent,absent,0.174789642,0.675266597,0.022200944,0,0.127742817,0.027529804,0.076756648,0.658514077,0.207759216,0.029440255,0.000517376,0.004389231,0.071158313,0.169432092,0.20929314,0.210743404,0.181507803,0.108523285,0.028394992,0.016040364,0.07606492,0.245497012,24.18677324,4,0.148999813,threatened,0.664585134,0.589839572,0.73924826
482638-wcs,1002013-1,Ipomoea sofomarensis,Ipomoea,sofomarensis,Convolvulaceae,correct,T,0,1,CR,T,1,confident,1400,1,4,4,1,present,absent,absent,present,0.106125158,0.724259096,0,0,0.169615747,0.006419927,0.019884681,0.711662548,0.236233117,0.025799727,0,0,0.137293545,0.237275573,0.251895299,0.18876179,0.128359068,0.047075816,0.009141814,0.000197096,0.137293545,0.374569119,2,2,0,threatened,0.664585134,0.589839572,0.73924826
867293-az,50103-1,Isoglossa parvifolia,Isoglossa,parvifolia,Acanthaceae,over,T,2,0,NT,NT,0,low_confidence,1235,3,61807,64,1,present,present,absent,present,0.12947779,0.766415753,0.005676956,0,0.098429502,0.01031776,0.029568673,0.711239528,0.22068665,0.028187389,0.000132297,0.001122361,0.057889298,0.230438476,0.243997092,0.206348819,0.159030324,0.076580475,0.018591256,0.005869602,0.059143956,0.289582432,248.6101366,8,0.075345575,over,0.460820066,0.389972639,0.531571013
250435-wcs,309457-1,Isolepis omissa,Isolepis,omissa,Cyperaceae,correct,T,0,1,EN,T,1,confident,3600,2,201,12,1,present,absent,absent,present,0.144862328,0.597093841,0,0,0.258043831,0.022318951,0.039071512,0.550029454,0.268453052,0.120127031,0,0,0.098742079,0.165756702,0.186155982,0.208368667,0.148886073,0.154508297,0.034277955,0.003304244,0.098742079,0.264498781,14.17744688,3.464101615,0,threatened,0.579062178,0.484266221,0.683541887
104668-wcs,959515-1,Jatropha horizontalis,Jatropha,horizontalis,Euphorbiaceae,correct,T,0,1,VU,T,1,confident,1385,1,1622,28,1,present,present,absent,absent,0.174789642,0.675266597,0.022200944,0,0.127742817,0.027529804,0.076756648,0.658514077,0.207759216,0.029440255,0.000517376,0.004389231,0.071158313,0.169432092,0.20929314,0.210743404,0.181507803,0.108523285,0.028394992,0.016040364,0.07606492,0.245497012,40.27406113,5.291502622,0.148999813,threatened,0.677797094,0.609282885,0.736089842
330997-az,50601-1,Justicia dallarii,Justicia,dallarii,Acanthaceae,over,T,2,0,LC,NT,0,confident,1800,4,48011,28,1,present,absent,absent,absent,0.251655845,0.551916052,0.017184441,0.002704687,0.176538976,0.031090362,0.105835881,0.530568602,0.274891949,0.057613206,0.003190928,0.015468649,0.07156638,0.125502109,0.156986817,0.231080284,0.186445043,0.16318402,0.038537518,0.00803825,0.090225957,0.215728066,219.1141255,5.291502622,0.131089437,over,0.612558097,0.542743508,0.688360729
330124-az,51567-1,Justicia schoensis,Justicia,schoensis,Acanthaceae,correct,T,0,1,VU,T,1,confident,2400,3,10151,76,0,absent,absent,absent,absent,0.18850168,0.435303425,0,0,0.376194895,0.015421829,0.052696523,0.492711369,0.275227804,0.163942474,0,0,0.074780309,0.129363108,0.143987069,0.138751754,0.129689647,0.19106615,0.151134668,0.041227294,0.074780309,0.204143417,100.7521712,8.717797887,0,threatened,0.559917978,0.475894692,0.630160785
1016673-az,60474135-2,Kalanchoe hypseloleuce,Kalanchoe,hypseloleuce,Crassulaceae,correct,T,0,1,VU,T,1,confident,1375,2,23378,38,1,present,present,absent,present,0.11391052,0.797730815,0,0,0.088358665,0.004417969,0.013394002,0.729312286,0.2251178,0.027757943,0,0,0.053330617,0.251397733,0.255919927,0.204839022,0.151307996,0.065606253,0.0152231,0.002375351,0.053330617,0.30472835,152.8986592,6.164414003,0,threatened,0.669506157,0.5952819,0.764196524
336022-az,274452-1,Kalanchoe quartiniana,Kalanchoe,quartiniana,Crassulaceae,under,NT,1,0,EN,T,1,confident,2150,3,32900,12,1,present,present,absent,absent,0.275555204,0.240767512,0.001489188,0,0.482188096,0.034328165,0.082800775,0.283878806,0.334885408,0.264106845,0,0,0.013685525,0.019906157,0.049432762,0.163343344,0.19067214,0.339030968,0.176458777,0.047470326,0.013685525,0.033591683,181.3835715,3.464101615,0.038589993,under,0.30578871,0.238953198,0.380554255
