genus,species,taxon,family,prediction,category,confidence,altitude,min_alt,max_alt,mean_alt,alt_range,floristic_region_codes,data_collection_type,mean_eoo,calculation,mean_aoo,calculation.1,presence_pa,AF,AR,BA,GD,GG,GJ,HA,IL,KF,SD,SU,TU,WG,WU,total_flor_regions,prediction_binomial
Mucuna,mooneyi,Mucuna mooneyi,Fabaceae,correct,VU,confident,1820-2150,1820,2150,1985,330,NA,NA,22203,text,24,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ocimum,formosum,Ocimum formosum,Lamiaceae,correct,EN,confident,1600-1850,1600,1850,1725,250,NA,NA,18646,text,14,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ocimum,ellenbeckii,Ocimum ellenbeckii,Lamiaceae,correct,EN,confident,1300,1300,1300,1300,0,NA,NA,8,text,8,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orbea,circes,Orbea circes,Apocynaceae,correct,EN,confident,1100-1150,1100,1150,1125,50,NA,NA,8,text,8,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orbea,gilbertii,Orbea gilbertii,Apocynaceae,correct,CR,confident,1800-1900,1800,1900,1850,100,NA,NA,4,text,4,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oreoschimperella,verrucosa,Oreoschimperella verrucosa,Apiaceae,correct,LC,low_confidence,1900-3800,1900,3800,2850,1900,NA,NA,402454,text,220,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orthosiphon,grandiflorus,Orthosiphon grandiflorus,Lamiaceae,correct,EN,low_confidence,350,350,350,350,0,NA,NA,8,infer,8,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Panicum,ruspolii,Panicum ruspolii,Poaceae,correct,LC,low_confidence,1300-1900,1300,1900,1600,600,NA,NA,58199,text,72,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Panicum,dorsense,Panicum dorsense,Poaceae,correct,CR,confident,2150,2150,2150,2150,0,NA,NA,4,text,4,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paronychia,bryoides,Paronychia bryoides,Caryophyllaceae,under,EN,low_confidence,3748-4475,3748,4475,4111.5,727,GD,text,25,text,20,text,yes,not present,not present,not present,present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,1,0
Pelargonium,boranense,Pelargonium boranense,Geraniaceae,correct,VU,confident,1150-1600,1150,1600,1375,450,NA,NA,25048,text,32,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pelargonium,wonchiense,Pelargonium wonchiense,Geraniaceae,correct,CR,confident,3000,3000,3000,3000,0,NA,NA,4,infer,4,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pelargonium,hararense,Pelargonium hararense,Geraniaceae,correct,CR,confident,2750-2850,2750,2850,2800,100,NA,NA,59,text,44,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pelargonium,erlangerianum,Pelargonium erlangerianum,Geraniaceae,correct,VU,low_confidence,1300-2150,1300,2150,1725,850,NA,NA,55043,text,44,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pentameris,dolichochaeta,Pentameris dolichochaeta,Poaceae,correct,EN,confident,3000,3000,3000,3000,0,NA,NA,20,text,12,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pentameris,trisetoides,Pentameris trisetoides,Poaceae,correct,LC,confident,2500-4000,2500,4000,3250,1500,NA,NA,101683,text,60,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pentanema,confertiflorum,Pentanema confertiflorum,Asteraceae,correct,LC,low_confidence,2500-3730,2500,3730,3115,1230,NA,NA,241798,text,212,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pentas,caffensis,Pentas caffensis,Rubiaceae,over,NT,confident,1400-2000,1400,2000,1700,600,"GJ, IL, KF, WG",mapped,113280,text,60,text,yes,not present,not present,not present,not present,not present,present,not present,present,present,not present,not present,not present,present,not present,4,1
Phragmanthera,macrosolen,Phragmanthera macrosolen,Loranthaceae,over,LC,low_confidence,1100-2500,1100,2500,1800,1400,"GJ, GD, IL, KF, SD, SU, TU, WG",text,278731,text,156,text,yes,not present,not present,not present,present,not present,present,not present,present,present,present,present,present,present,not present,8,1
Phragmanthera,sarertaensis,Phragmanthera sarertaensis,Loranthaceae,correct,VU,confident,2300-2650,2300,2650,2475,350,NA,NA,34212,text,40,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phyllanthus,dewildeorum,Phyllanthus dewildeorum,Phyllanthaceae,correct,EN,confident,1400,1400,1400,1400,0,NA,NA,19729,geocat (RL points),20,geocat (RL points),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phyllanthus,borenensis,Phyllanthus borenensis,Phyllanthaceae,correct,CR,confident,1100,1100,1100,1100,0,NA,NA,4,infer,4,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
