genus,species,taxon,family,prediction,category,confidence,altitude,min_alt,max_alt,mean_alt,alt_range,floristic_region_codes,data_collection_type,mean_eoo,calculation,mean_aoo,calculation.1,presence_pa,AF,AR,BA,GD,GG,GJ,HA,IL,KF,SD,SU,TU,WG,WU,total_flor_regions,prediction_binomial
Solanecio,gigas,Solanecio gigas,Asteraceae,over,LC,low_confidence,1750-3350,1750,3350,2550,1600,"GJ, SU, AR, SD, GD, WG, BA, WU",mapped,215483,text,76,geocat (GBIF points),yes,not present,present,present,present,not present,present,not present,not present,not present,present,present,not present,present,present,8,1
Solanum,macracanthum,Solanum macracanthum,Solanaceae,correct,LC,confident,2100-3300,2100,3300,2700,1200,NA,NA,798520,text,80,geocat (RL points),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solanum,hirtulum,Solanum hirtulum,Solanaceae,under,VU,confident,2250-3500,2250,3500,2875,1250,"GJ, GD, SU, TU, WU",text,86367,text,56,text,yes,not present,not present,not present,present,not present,present,not present,not present,not present,not present,present,present,not present,present,5,0
Sonchus,obtusilobus,Sonchus obtusilobus,Asteraceae,under,CR,low_confidence,3200,3200,3200,3200,0,TU,text,4,text,4,text,no,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,present,not present,not present,1,0
Stachys,jijigaensis,Stachys jijigaensis,Lamiaceae,correct,EN,confident,1300-1750,1300,1750,1525,450,NA,NA,479,text,16,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stachys,balensis,Stachys balensis,Lamiaceae,correct,VU,confident,1300-2250,1300,2250,1775,950,NA,NA,24907,text,32,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stomatanthes,meyeri,Stomatanthes meyeri,Asteraceae,correct,EN,confident,2200-2400,2200,2400,2300,200,NA,NA,8,infer,8,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptocarpus,phaeotrichus,Streptocarpus phaeotrichus,Gesneriaceae,correct,EN,confident,1500-1870,1500,1870,1685,370,NA,NA,11908,text,12,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Striga,pinnatifida,Striga pinnatifida,Orobanchaceae,correct,CR,confident,1600,1600,1600,1600,0,NA,NA,4,text,4,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stylochaeton,oligocarpum,Stylochaeton oligocarpum,Araceae,correct,EN,confident,320-1300,320,1300,810,980,NA,NA,51966,text,16,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tephrosia,dichroocarpa,Tephrosia dichroocarpa,Fabaceae,under,EN,confident,2250-2400,2250,2400,2325,150,"GJ, TU",text,48564,text,16,text,no,not present,not present,not present,not present,not present,present,not present,not present,not present,not present,not present,present,not present,not present,2,0
Thunbergia,mauginii,Thunbergia mauginii,Acanthaceae,correct,VU,confident,1300-1700,1300,1700,1500,400,NA,NA,7332,text,48,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thunbergia,ruspolii,Thunbergia ruspolii,Acanthaceae,correct,LC,low_confidence,1000-2400,1000,2400,1700,1400,NA,NA,167841,text,248,geocat (RL points),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thunbergia,hirsuta,Thunbergia hirsuta,Acanthaceae,under,EN,low_confidence,1800-2400,1800,2400,2100,600,"GJ, GD",text,7246,text,266,text,no,not present,not present,not present,present,not present,present,not present,not present,not present,not present,not present,not present,not present,not present,2,0
Tinnea,somalensis,Tinnea somalensis,Lamiaceae,over,LC,confident,1100-1900,1100,1900,1500,800,"AR, BA, SD",text,47262,text,152,text,yes,not present,present,present,not present,not present,not present,not present,not present,not present,present,not present,not present,not present,not present,3,1
Tragia,abortiva,Tragia abortiva,Euphorbiaceae,correct,EN,confident,1550-1800,1550,1800,1675,250,NA,NA,228,text,20,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tragia,crenata,Tragia crenata,Euphorbiaceae,correct,CR,confident,1300,1300,1300,1300,0,NA,NA,4,infer,4,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tragia,triumfetoides,Tragia triumfetoides,Euphorbiaceae,correct,EN,confident,1900-1950,1900,1950,1925,50,NA,NA,8,text,8,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tragia,ashiae,Tragia ashiae,Euphorbiaceae,correct,EN,confident,2200-2400,2200,2400,2300,200,NA,NA,18449,text,20,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tragia,negeliensis,Tragia negeliensis,Euphorbiaceae,correct,EN,confident,1300-1600,1300,1600,1450,300,NA,NA,870.5,text,14,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trifolium,schimperi,Trifolium schimperi,Fabaceae,correct,LC,confident,1700-3150,1700,3150,2425,1450,NA,NA,189061,text,212,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trifolium,chilaloense,Trifolium chilaloense,Fabaceae,correct,CR,confident,2900,2900,2900,2900,0,NA,NA,4,infer,4,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trifolium,somalense,Trifolium somalense,Fabaceae,under,EN,low_confidence,1800-2000,1800,2000,1900,200,SD,text,4469.5,text,8,text,no,not present,not present,not present,not present,not present,not present,not present,not present,not present,present,not present,not present,not present,not present,1,0
Trifolium,pichisermollii,Trifolium pichisermollii,Fabaceae,over,NT,confident,2100-2700,2100,2700,2400,600,"GJ, SU",text,12715,text,68,text,no,not present,not present,not present,not present,not present,present,not present,not present,not present,not present,present,not present,not present,not present,2,1
Trifolium,spananthum,Trifolium spananthum,Fabaceae,correct,VU,confident,2300-2900,2300,2900,2600,600,NA,NA,90242,text,40,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trifolium,decorum,Trifolium decorum,Fabaceae,over,NT,confident,1800-3000,1800,3000,2400,1200,"AR, GD, GJ, SU, TU",text,41677,text,48,text,yes,not present,present,not present,present,not present,present,not present,not present,not present,not present,present,present,not present,not present,5,1
Trifolium,abyssinicum,Trifolium calocephalum,Fabaceae,correct,LC,confident,2400-3600,2400,3600,3000,1200,NA,NA,166531,text,120,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trifolium,mattirolianum,Trifolium mattirolianum,Fabaceae,over,LC,low_confidence,1300-2100,1300,2100,1700,800,"GG, HA, TU, SU, GG, KF, WG, IL, GD, GJ",mapped,271523,text,284,geocat (GBIF points),yes,not present,not present,not present,present,present,present,present,present,present,not present,present,present,present,not present,9,1
Urtica,simensis,Urtica simensis,Urticaceae,correct,LC,confident,1500-3400,1500,3400,2450,1900,NA,NA,122919,text,96,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vachellia,prasinata,Vachellia prasinata,Fabaceae,correct,EN,confident,500-1300,500,1300,900,800,NA,NA,75,text,20,geocat (RL points),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vachellia,negrii,Vachellia negrii,Fabaceae,over,LC,confident,2000-3100,2000,3100,2550,1100,"GD, SD, GJ, WG, SU, WU, AR",mapped,230426,text,96,geocat (GBIF points),yes,not present,present,not present,present,not present,present,not present,not present,not present,present,present,not present,present,present,7,1
Vepris,dainellii,Vepris dainellii,Rutaceae,over,LC,confident,1750-2500,1750,2500,2125,750,"BA, GJ, IL, KF, SU, SD, WG",text,280883,text,168,geocat (RL points),no,not present,not present,present,not present,not present,present,not present,present,present,present,present,not present,present,not present,7,1
Verbascum,chiovendae,Verbascum chiovendae,Scrophulariaceae,correct,VU,confident,1500-2500,1500,2500,2000,1000,NA,NA,37735,text,32,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Verbascum,sedgwickianum,Verbascum sedgwickianum,Scrophulariaceae,correct,EN,low_confidence,3000-3700,3000,3700,3350,700,NA,NA,28,text,12,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Verbascum,stelurum,Verbascum stelurum,Scrophulariaceae,correct,EN,confident,1650,1650,1650,1650,0,NA,NA,240963,text,28,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vernonia,dalettiensis,Vernonia dalettiensis,Asteraceae,correct,EN,confident,1975-2165,1975,2165,2070,190,NA,NA,15691,text,20,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vernonia,friisii,Vernonia friisii,Asteraceae,correct,EN,confident,900-2200,900,2200,1550,1300,NA,NA,1967,text,12,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vernonia,yabelloana,Vernonia yabelloana,Asteraceae,correct,CR,confident,1740,1740,1740,1740,0,NA,NA,4,text,4,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vernonia,didessana,Vernonia didessana,Asteraceae,correct,VU,confident,1220-1700,1220,1700,1460,480,NA,NA,139,text,12,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vernonia,tewoldei,Vernonia tewoldei,Asteraceae,over,LC,confident,1600-2200,1600,2200,1900,600,"BA, KF",text,31132,text,28,text,yes,not present,not present,present,not present,not present,not present,not present,not present,present,not present,not present,not present,not present,not present,4,1
Vernonia,thulinii,Vernonia thulinii,Asteraceae,correct,EN,confident,1000-1750,1000,1750,1375,750,NA,NA,25539,text,20,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vernonia,gilbertii,Vernonia gilbertii,Asteraceae,correct,VU,confident,1650-2050,1650,2050,1850,400,NA,NA,17838,text,40,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vernonia,cylindrica,Vernonia cylindrica,Asteraceae,under,VU,confident,1300-1700,1300,1700,1500,400,"GJ, GD, TU, WG, WU",mapped,49816,text,44,text,no,not present,not present,not present,present,not present,present,not present,not present,not present,not present,not present,present,present,present,5,0
Zygotritonia,benishangulana,Zygotritonia benishangulana,Iridaceae,correct,EN,confident,1440-1650,1440,1650,1545,210,NA,NA,439,text,20,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
